Source,Destination,Src name port,Dst name port,Number of requests
119.9.25.116,192.168.1.65,2435,41584,46
173.194.163.223,192.168.1.65,443,55680,3677
173.194.163.223,192.168.1.65,443,"55680,IgnoredUnknownRecord",4
173.194.32.205,192.168.1.65,443,60098,6
192.168.1.65,119.9.25.116,41584,2435,44
192.168.1.65,173.194.163.223,55680,443,3104
192.168.1.65,173.194.32.205,60098,443,5
192.168.1.65,192.30.253.124,41976,443,5
192.168.1.65,31.13.72.52,52352,443,24
192.168.1.65,5.255.255.88,53790,443,7
192.168.1.65,74.125.131.198,51944,443,17
192.168.1.65,74.125.131.95,51558,443,9
192.168.1.65,74.125.205.188,43196,5228,6
192.168.1.65,74.125.232.239,52038,443,8
192.168.1.65,95.30.216.164,57908,443,193
192.30.253.124,192.168.1.65,443,41976,10
31.13.72.52,192.168.1.65,443,52352,8
5.255.255.88,192.168.1.65,443,53790,7
74.125.131.198,192.168.1.65,443,51944,48
74.125.131.95,192.168.1.65,443,51558,6
74.125.205.188,192.168.1.65,5228,43196,6
74.125.232.239,192.168.1.65,443,52038,11
95.30.216.164,192.168.1.65,443,57908,18
